VID,Type,Brand,Model,Year,Seats,Range,Quantity,Price,Description
b5325b3e-5154-4084-a3f5-4bc679a33a99,Compact,Mitsubishi,Minicab MiEV,2023,2,80,9,20000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 16
HorsePower: 64
Top Speed km/h: 100
Performance(0 - 100 )KM/H: 15
Torque: 196 Nm"
b901c383-254f-41df-9539-2fc7f0cabea5,Hatchback,Volkswagen,Golf Electric,2023,5,179,5,33000.00,"Engines: Electric
CC/Battery Capacity kwh: 35.8
HorsePower: 136
Top Speed km/h: 140
Performance(0 - 100 )KM/H: 10.4
Torque: 290 Nm"
b91bacc4-4392-4013-ac45-89a3f4b58520,SUV,Nissan,Ariya Premiere,2025,5,435,4,67000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
b9496118-448e-4e56-b460-2c7fe5f30a38,SUV,Tesla,Model X,2025,7,500,2,98490.00,"Engines: Dual Electric Motors (AWD)
CC/Battery Capacity kwh: 100
HorsePower: 670
Top Speed km/h: 250
Performance(0 - 100 )KM/H: 3.8
Torque: 967 Nm"
b9d71756-20ad-45fe-b6fd-514f3ddda28b,Crossover,Volkswagen,ID. Buzz Cargo EV,2025,2,385,5,55000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 204
Top Speed km/h: 145
Performance(0 - 100 )KM/H: 10.2
Torque: 310 Nm"
bf2bef5b-af09-4cd1-9b71-22ce0afd2ec2,SUV,Ford,Mustang Mach-E (Standard,2025,5,340,4,43000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 68
HorsePower: 290
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 3.5
Torque: 430 Nm (GT Model)"
c6efa795-8626-4c5f-ab5e-84ab2d0f4d86,Compact,Mitsubishi,i-MiEV (Electric),2023,4,80,1,26000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 16
HorsePower: 66
Top Speed km/h: 130
Performance(0 - 100 )KM/H: 15
Torque: 196 Nm"
ce7f82cd-9a68-4fe0-89ef-eed790257ead,Sedan,Tesla,Model 3,2025,5,300,2,40240.00,"Engines: Single Electric Motor (RWD)
CC/Battery Capacity kwh: 60
HorsePower: 283
Top Speed km/h: 225
Performance(0 - 100 )KM/H: 5.8
Torque: 420 Nm"
d09b3b83-7777-408e-be72-a171668abff1,SUV,Nissan,Ariya,2024,5,435,8,58950.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
d0ac7529-8719-4047-8c75-3f261ed47926,Sedan,TOYOTA,BZ3,2025,5,325,4,35000.00,"Engines: ELECTRIC MOTOR
CC/Battery Capacity kwh: 65
HorsePower: 241
Top Speed km/h: 160
Performance(0 - 100 )KM/H: 7.5
Torque: 340 Nm"
d1151e1b-1f9f-4a8a-96a6-1376731ff17d,Crossover,Porsche,Taycan Cross Turismo 4,2025,4,467,5,94800.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 93.4
HorsePower: 375
Top Speed km/h: 240
Performance(0 - 100 )KM/H: 5.1
Torque: 500 Nm"
d25e5860-ecfc-4ebe-b38e-1267c22c3f93,Crossover,Ford,Transit Electric (E-Transit),2024,5,445,8,52000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 89
HorsePower: 266
Top Speed km/h: 140
Performance(0 - 100 )KM/H: 9
Torque: 430 Nm"
d37373f5-b645-4f64-ab30-f181e1007563,Luxury,Jaguar Land Rover,Jaguar I-PACE EV400 HSE,2024,5,450,6,85000.00,"Engines: Electric (Dual Motor)
CC/Battery Capacity kwh: 90
HorsePower: 400
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 4.5
Torque: 696 Nm"
d3e9a4eb-b412-4a07-82f1-4d155e36b1fa,Sedan,HYUNDAI,IONIQ 6 Standard,2024,5,268,6,41450.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 53.6
HorsePower: 320
Top Speed km/h: 185
Performance(0 - 100 )KM/H: 5.2
Torque: 350 Nm"
d6ca38fa-87eb-43e1-9163-40a46b0eec0c,Luxury,Cadillac,Lyriq EV,2025,5,500,7,58590.00,"Engines: Single Electric Motor
CC/Battery Capacity kwh: 100
HorsePower: 340
Top Speed km/h: 190
Performance(0 - 100 )KM/H: 5.7
Torque: 440 Nm"
d6f1e117-092a-4bb0-8ff9-0083053f846f,SUV,AUDI,E-TRON,2025,5,475,4,75000.00,"Engines: ELECTRIC
CC/Battery Capacity kwh: 95
HorsePower: 402
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.5
Torque: 664 Nm"
d74617d7-234a-4e88-b8e2-68346aedfc6e,Luxury,Cadillac,Lyriq Launch Edition,2025,5,500,5,59990.00,"Engines: Single Electric Motor
CC/Battery Capacity kwh: 100
HorsePower: 340
Top Speed km/h: 190
Performance(0 - 100 )KM/H: 5.7
Torque: 440 Nm"
d78990f6-5c20-444a-bb16-0c23fa975aa8,Crossover,Volkswagen,ID. Buzz Cargo,2025,3,385,3,55000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 204
Top Speed km/h: 145
Performance(0 - 100 )KM/H: 10.2
Torque: 310 Nm"
d7e4d470-7bec-4f98-845e-7139bda05210,Hatchback,Chevrolet,Bolt EV,2023,5,330,6,27495.00,"Engines: Single Electric Motor
CC/Battery Capacity kwh: 66
HorsePower: 200
Top Speed km/h: 150
Performance(0 - 100 )KM/H: 6.5
Torque: 360 Nm"
dcd87a11-9306-41aa-b195-4f9f0a6ac325,Crossover,Tesla,Model Y,2024,5,375,3,47490.00,"Engines: Single Electric Motor (RWD)
CC/Battery Capacity kwh: 75
HorsePower: 346
Top Speed km/h: 217
Performance(0 - 100 )KM/H: 5
Torque: 498 Nm"
dd0c545a-2b2c-4013-9885-05d99566762e,Crossover,Kia,EV6 Light,2024,5,387,3,46000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 77.4
HorsePower: 225
Top Speed km/h: 190
Performance(0 - 100 )KM/H: 5.2
Torque: 350 Nm"
dd506ade-29c6-4bd8-b4c9-4c1a1a252c0d,Truck,Tesla,Cybertruck,2025,6,1000,10,69900.00,"Engines: Tri Electric Motors
CC/Battery Capacity kwh: 200
HorsePower: 800
Top Speed km/h: 209
Performance(0 - 100 )KM/H: 2.9
Torque: 1,355 Nm"
e2f99ac7-fb1e-43a5-b05d-cdf0d81a0b11,SUV,Nissan,Ariya Empower+,2025,5,435,3,68000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
e3fd9447-fca0-45e4-94a6-a57f0278a839,Luxury,Jaguar Land Rover,Jaguar I-PACE Electric Performance,2025,5,450,6,85000.00,"Engines: Electric (Dual Motor)
CC/Battery Capacity kwh: 90
HorsePower: 400
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 4.5
Torque: 696 Nm"
e59e8011-fd9e-4fb5-9b96-562355a4dd2b,SUV,Tata Motors,Nexon EV Max,2025,5,202,6,25000.00,"Engines: Permanent Magnet Synchronous
CC/Battery Capacity kwh: 40.5
HorsePower: 143
Top Speed km/h: 140
Performance(0 - 100 )KM/H: 9
Torque: 250 Nm"
e69b7ca5-f3a0-4917-8d6d-1b3a9ae89a9d,SUV,Nissan,Ariya E-4ORCE,2025,5,435,2,60000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 87
HorsePower: 389
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 5.1
Torque: 600 Nm"
ebd2e541-7738-4614-888c-0a4af16e0004,Truck,Ford,F-150 Lightning,2025,5,490,1,80000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 98
HorsePower: 452
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 4.5
Torque: 1051 Nm"
ecbcf6b9-a608-42de-ab89-afb9d135b473,SUV,Volkswagen,ID.4 Pro S,2025,5,385,2,45000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 201
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 7.8
Torque: 310 Nm"
ed6b51a1-2f1c-4beb-b06a-c2efaab2df89,Crossover,HYUNDAI,IONIQ 5,2025,5,363,2,41000.00,"Engines: ELECTRIC MOTOR
CC/Battery Capacity kwh: 72.6
HorsePower: 225
Top Speed km/h: 185
Performance(0 - 100 )KM/H: 7.4
Torque: 350 Nm"
ef5ee855-fe01-4bcd-8fe4-67e743dc9da2,Crossover,Kia,EV6 Wind,2025,5,387,1,50000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 77.4
HorsePower: 225
Top Speed km/h: 190
Performance(0 - 100 )KM/H: 5.2
Torque: 350 Nm"
f11aff9c-34b4-480f-a2c6-47226c1d748b,Truck,GMC,Hummer EV Pickup Edition 1,2024,5,1000,5,96550.00,"Engines: Electric motors with up to 11,500 lb-ft torque
CC/Battery Capacity kwh: 200
HorsePower: 1,000
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3
Torque: 15,590 Nm"
f24e3ba6-bc59-4773-a4c7-947aeb96e3f9,SUV,Peugeot,e-2008,2024,5,250,4,38000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 50
HorsePower: 136
Top Speed km/h: 150
Performance(0 - 100 )KM/H: 8.5
Torque: 260 Nm"
f5be0eb0-fdf2-4e70-81ed-6825253f0fc5,SUV,Tesla,Model X Plaid,2024,6,500,8,113490.00,"Engines: Tri Electric Motors
CC/Battery Capacity kwh: 100
HorsePower: 1,020
Top Speed km/h: 262
Performance(0 - 100 )KM/H: 2.6
Torque: 1,400 Nm"
fdcf92f2-fcb3-4bfc-a4a1-964596d249df,Luxury,Tesla,Model S Plaid,2024,5,500,1,108490.00,"Engines: Tri Electric Motors
CC/Battery Capacity kwh: 100
HorsePower: 1,020
Top Speed km/h: 322
Performance(0 - 100 )KM/H: 2.1
Torque: 1,400 Nm"
ff04e15f-39b9-47f4-ab7d-c32021ceb540,SUV,HYUNDAI,KONA Electric,2025,5,196,2,40000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 39.2
HorsePower: 200
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 6.1
Torque: 395 Nm"
ffd823fe-0663-4055-9e76-ba6dd2f47ee5,Sedan,Tata Motors,Tiago EV,2024,5,120,6,11000.00,"Engines: Permanent Magnet Synchronous
CC/Battery Capacity kwh: 24
HorsePower: 74
Top Speed km/h: 120
Performance(0 - 100 )KM/H: 5.7
Torque: 114 Nm"
